artist.name,track.name,genre,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,popularity
Selena Gomez,Lose You To Love Me,pop,0.505,0.34,4,-9.005,0.0438,0.576,0,0.21,0.0916,101.993,24
Billie Eilish,bury a friend,pop,0.905,0.389,8,-14.505,0.332,0.74,0.162,0.106,0.196,120.046,78
Lil Tecca,Ransom,pop,0.745,0.642,7,-6.257,0.287,0.0204,0,0.0658,0.226,179.974,81
Dominic Fike,3 Nights,pop,0.815,0.518,7,-6.594,0.0897,0.223,0,0.104,0.877,151.891,77
Alec Benjamin,Let Me Down Slowly,pop,0.652,0.557,1,-5.714,0.0318,0.74,0,0.124,0.483,150.073,83
Lizzo,Good as Hell,pop,0.682,0.919,0,-3.18,0.0875,0.256,0,0.442,0.535,95.982,67
Katy Perry,Never Really Over,pop,0.77,0.882,8,-4.792,0.0602,0.194,0,0.316,0.385,99.991,76
Jonas Brothers,Sucker,pop,0.842,0.734,1,-5.065,0.0588,0.0427,0,0.106,0.952,137.958,82
Maroon 5,Memories,pop,0.764,0.32,11,-7.209,0.0546,0.837,0,0.0822,0.575,91.019,86
Ariana Grande,"break up with your girlfriend, i'm bored",pop,0.726,0.554,5,-5.29,0.0917,0.0421,0,0.106,0.335,169.999,78
Ed Sheeran,Beautiful People (feat. Khalid),pop,0.64,0.647,5,-8.114,0.186,0.124,0,0.0801,0.546,92.979,75
The Chainsmokers,Who Do You Love,pop,0.51,0.835,3,-4.673,0.0447,0.00791,0,0.219,0.435,140.024,2
FLETCHER,Undrunk,pop,0.442,0.579,5,-6.484,0.145,0.489,1.04e-6,0.126,0.546,83.336,67
Normani,Motivation,pop,0.599,0.887,4,-3.967,0.0984,0.0192,1.21e-6,0.3,0.881,170.918,73
YG,Go Loko,pop,0.88,0.67,2,-5.188,0.0429,0.299,5.08e-6,0.0677,0.142,100.995,4
Ali Gatie,It's You,pop,0.732,0.463,11,-6.972,0.0287,0.374,0,0.194,0.397,95.971,5
Halsey,Graveyard,pop,0.667,0.583,11,-5.127,0.0747,0.231,4.48e-5,0.181,0.187,92.043,8
Megan Thee Stallion,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),pop,0.872,0.814,0,-4.568,0.155,0.00485,1.96e-6,0.214,0.57,98.985,71
Dua Lipa,Don't Start Now,pop,0.794,0.793,11,-4.521,0.0842,0.0125,0,0.0952,0.677,123.941,83
Harry Styles,Lights Up,pop,0.585,0.62,3,-8.09,0.0327,0.0426,0.00224,0.15,0.281,101.939,5
Maren Morris,The Bones,pop,0.612,0.57,11,-6.642,0.0347,0.279,0,0.0963,0.335,77.004,6
SHAED,Trampoline (with ZAYN),pop,0.619,0.459,7,-5.782,0.0334,0.56,0,0.137,0.498,126.803,74
NF,Time,pop,0.677,0.688,0,-4.058,0.0633,0.138,0,0.114,0.198,98.049,74
Arizona Zervas,ROXANNE,pop,0.621,0.601,6,-5.616,0.148,0.0522,0,0.46,0.457,116.735,84
Kehlani,Nights Like This (feat. Ty Dolla $ign),pop,0.61,0.725,8,-5.131,0.15,0.367,0,0.154,0.291,146.163,76
Chris Brown,No Guidance (feat. Drake),pop,0.696,0.454,1,-6.756,0.153,0.123,0,0.155,0.136,92.928,81
J. Cole,MIDDLE CHILD,pop,0.837,0.364,8,-11.713,0.276,0.149,0,0.271,0.463,123.984,80
BLACKPINK,Kill This Love,pop,0.738,0.861,2,-4.141,0.237,0.318,0.00182,0.325,0.58,131.98,72
Mabel,Don't Call Me Up,pop,0.674,0.881,9,-2.853,0.147,0.296,3.01e-6,0.0793,0.234,98.994,79
Dermot Kennedy,Outnumbered,pop,0.614,0.684,0,-5.79,0.157,0.247,0,0.0976,0.258,156.85,66
Y2K,Lalala,pop,0.843,0.391,2,-7.899,0.0845,0.181,0,0.137,0.496,129.972,79
The Weeknd,Blinding Lights,pop,0.513,0.796,1,-4.075,0.0629,0.00147,2.09e-4,0.0938,0.345,171.017,27
Roddy Ricch,The Box,pop,0.896,0.586,10,-6.687,0.0559,0.104,0,0.79,0.642,116.971,87
Cardi B,WAP (feat. Megan Thee Stallion),pop,0.935,0.454,1,-7.509,0.375,0.0194,0,0.0824,0.357,133.073,89
DaBaby,ROCKSTAR (feat. Roddy Ricch),pop,0.746,0.69,11,-7.956,0.164,0.247,0,0.101,0.497,89.977,89
24kGoldn,Mood (feat. iann dior),pop,0.7,0.722,7,-3.558,0.0369,0.221,0,0.272,0.756,90.989,94
Ariana Grande,positions,pop,0.736,0.802,0,-4.759,0.0864,0.468,0,0.094,0.675,144.005,54
Tate McRae,you broke me first,pop,0.642,0.374,4,-9.386,0.0545,0.786,0,0.0906,0.0799,124.099,91
Pop Smoke,What You Know Bout Love,pop,0.709,0.548,10,-8.493,0.353,0.65,1.59e-6,0.133,0.543,83.995,91
Bad Bunny,DÁKITI,pop,0.731,0.573,4,-10.059,0.0544,0.401,5.22e-5,0.113,0.145,109.928,93
Doja Cat,Say So,pop,0.787,0.673,11,-4.577,0.158,0.256,3.57e-6,0.0904,0.786,110.962,84
BENEE,Supalonely,pop,0.863,0.631,7,-4.689,0.0534,0.305,3.04e-5,0.123,0.817,128.977,80
Dua Lipa,Break My Heart,pop,0.73,0.729,4,-3.434,0.0886,0.167,1.39e-6,0.349,0.467,113.012,74
Harry Styles,Watermelon Sugar,pop,0.548,0.816,0,-4.209,0.0465,0.122,0,0.335,0.557,95.39,89
Juice WRLD,Wishing Well,pop,0.65,0.613,9,-6.13,0.128,0.00336,0,0.267,0.0804,149.972,25
BTS,Dynamite,pop,0.746,0.765,6,-4.41,0.0993,0.0112,0,0.0936,0.737,114.044,83
SAINt JHN,Roses - Imanbek Remix,pop,0.77,0.724,8,-5.484,0.0495,0.0167,0.0107,0.353,0.898,121.975,87
Megan Thee Stallion,Savage Remix (feat. Beyoncé),pop,0.822,0.743,10,-4.772,0.28,0.016,0,0.127,0.636,84.459,76
Jawsh 685,Savage Love (Laxed - Siren Beat),pop,0.795,0.48,3,-8.556,0.0688,0.243,0,0.271,0.723,149.919,73
Topic,Breaking Me,pop,0.789,0.72,8,-5.652,0.218,0.223,0,0.129,0.664,122.031,87
Trevor Daniel,Falling,pop,0.785,0.431,10,-8.756,0.0364,0.123,0,0.0887,0.236,127.085,83
Justin Bieber,Lonely (with benny blanco),pop,0.631,0.239,11,-7.071,0.0398,0.864,0,0.116,0.0927,79.859,89
Taylor Swift,cardigan,pop,0.613,0.581,0,-8.588,0.0424,0.537,3.45e-4,0.25,0.551,130.033,81
Lewis Capaldi,Before You Go,pop,0.459,0.575,3,-4.858,0.0573,0.604,0,0.0885,0.183,111.881,82
Billie Eilish,Therefore I Am,pop,0.889,0.34,11,-7.773,0.0697,0.218,0.13,0.055,0.716,94.009,91
Lil Mosey,Blueberry Faygo,pop,0.774,0.554,0,-7.909,0.0383,0.207,0,0.132,0.349,99.034,82
Surfaces,"Sunday Best (Feeling Good, Like I Should)",pop,0.878,0.525,5,-6.832,0.0578,0.183,0,0.0714,0.694,112.022,82
Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",pop,0.904,0.723,11,-5.224,0.26,0.0631,0,0.185,0.835,145.013,83
Internet Money,Lemonade,pop,0.799,0.66,1,-6.153,0.079,0.256,0,0.111,0.471,140.04,88
Drake,Laugh Now Cry Later (feat. Lil Durk),pop,0.761,0.518,0,-8.871,0.134,0.244,3.47e-5,0.107,0.522,133.976,88
KAROL G,Tusa,pop,0.803,0.715,2,-3.28,0.298,0.295,1.34e-4,0.0574,0.574,101.085,85
Lady Gaga,Rain On Me (with Ariana Grande),pop,0.672,0.855,9,-3.764,0.0397,0.021,0,0.323,0.646,123.056,81
Surf Mesa,ily (i love you baby) (feat. Emilee),pop,0.674,0.774,11,-7.567,0.0892,0.0686,0.00188,0.393,0.33,112.05,84
Halsey,You should be sad,pop,0.591,0.585,2,-6.35,0.0277,0.143,0,0.109,0.324,110.94,78
The Kid LAROI,SO DONE,pop,0.719,0.598,9,-6.254,0.077,0.232,0,0.115,0.303,142.592,82
Miley Cyrus,Prisoner (feat. Dua Lipa),pop,0.781,0.67,3,-3.912,0.0452,0.0103,0,0.0761,0.595,127.99,87
Machine Gun Kelly,my ex's best friend (with blackbear),pop,0.728,0.685,5,-5.096,0.0433,0.00391,0,0.152,0.33,124.934,34
THE SCOTTS,THE SCOTTS,pop,0.716,0.537,0,-7.648,0.0514,0.233,0,0.157,0.28,129.979,83
BLACKPINK,Ice Cream (with Selena Gomez),pop,0.79,0.729,9,-3.843,0.334,0.0342,9.31e-5,0.0411,0.904,159.989,74
Chris Brown,Go Crazy,pop,0.755,0.578,0,-8.932,0.145,0.316,0,0.25,0.581,94.148,83
Zoe Wees,Control,pop,0.599,0.465,4,-4.95,0.0314,0.643,1.57e-6,0.149,0.0678,113.82,78
Powfu,death bed (coffee for your head),pop,0.726,0.431,8,-8.765,0.135,0.731,0,0.696,0.348,144.026,87
Joel Corry,Head & Heart (feat. MNEK),pop,0.734,0.874,8,-3.158,0.0662,0.168,1.14e-5,0.0489,0.905,122.953,89
StaySolidRocky,Party Girl,pop,0.728,0.431,6,-9.966,0.0622,0.749,0,0.0996,0.629,130.022,80
Lil Baby,We Paid (feat. 42 Dugg),pop,0.926,0.542,1,-5.064,0.293,0.135,0,0.0877,0.564,135.14,79
Maluma,Hawái,pop,0.787,0.728,6,-3.455,0.389,0.189,2.29e-5,0.0629,0.545,180.066,86
Conan Gray,Heather,pop,0.357,0.425,5,-7.301,0.0333,0.584,0,0.322,0.27,102.078,89
Ritt Momney,Put Your Records On,pop,0.399,0.491,6,-10.778,0.0538,0.0563,8.9e-4,0.11,0.151,91.066,86
Curtis Waters,Stunnin' (feat. Harm Franklin),pop,0.885,0.685,11,-6.429,0.0627,0.33,0,0.148,0.937,99.954,73
Future,Life Is Good (feat. Drake),pop,0.676,0.609,2,-5.831,0.481,0.0706,0,0.152,0.508,142.037,83
JP Saxe,If the World Was Ending - feat. Julia Michaels,pop,0.464,0.473,1,-10.086,0.129,0.866,0,0.109,0.604,75.801,85
Beyoncé,Formation,pop,0.896,0.621,5,-6.857,0.237,0.00532,0,0.196,0.818,121.966,74
Drake,One Dance,pop,0.792,0.625,1,-5.609,0.0536,0.00776,0.0018,0.329,0.37,103.967,79
Rihanna,We Found Love,pop,0.734,0.766,1,-4.485,0.0383,0.025,0.00138,0.108,0.6,127.986,53
Adele,Someone Like You,pop,0.554,0.321,9,-8.251,0.028,0.893,0,0.0996,0.288,135.047,50
Jack Ü,Where Are Ü Now (with Justin Bieber),pop,0.432,0.781,4,-4.038,0.0567,0.041,4.21e-6,0.0789,0.197,139.432,73
Katy Perry,Teenage Dream,pop,0.719,0.798,10,-4.582,0.0361,0.0162,2.34e-6,0.134,0.591,120.011,65
Ed Sheeran,Thinking out Loud,pop,0.781,0.445,2,-6.061,0.0295,0.474,0,0.184,0.591,78.998,66
Robyn,Dancing On My Own,pop,0.678,0.871,6,-4.781,0.0342,0.0587,0.249,0.0928,0.28,117.029,20
Luis Fonsi,Despacito - Remix,pop,0.649,0.798,2,-4.346,0.178,0.226,0,0.0711,0.857,177.899,70
Post Malone,rockstar (feat. 21 Savage),pop,0.585,0.52,5,-6.136,0.0712,0.124,7.01e-5,0.131,0.129,159.801,83
Lorde,Royals,pop,0.674,0.428,7,-9.504,0.122,0.121,0,0.132,0.337,84.878,75
Mark Ronson,Uptown Funk (feat. Bruno Mars),pop,0.856,0.609,0,-7.223,0.0824,0.00801,8.15e-5,0.0344,0.928,114.988,80
Taylor Swift,Blank Space,pop,0.752,0.678,5,-5.421,0.0646,0.085,1.64e-6,0.13,0.583,96.009,66
Ariana Grande,"thank u, next",pop,0.717,0.653,1,-5.634,0.0658,0.229,0,0.101,0.412,106.966,83
Sia,Chandelier,pop,0.399,0.787,1,-2.88,0.0499,0.0197,6.07e-5,0.0685,0.572,117.089,68
Hozier,Take Me To Church,pop,0.456,0.67,7,-5.212,0.0574,0.588,0,0.116,0.405,128.632,0
Adele,Rolling in the Deep,pop,0.729,0.756,8,-5.119,0.0294,0.131,0,0.0527,0.522,104.945,50
Drake,Hotline Bling,pop,0.891,0.628,2,-7.863,0.0551,0.00258,1.9e-4,0.0504,0.552,134.966,75
Ed Sheeran,Shape of You,pop,0.825,0.652,1,-3.183,0.0802,0.581,0,0.0931,0.931,95.977,84
Justin Bieber,Sorry,pop,0.654,0.76,0,-3.669,0.045,0.0797,0,0.299,0.41,99.945,79
Dua Lipa,New Rules,pop,0.762,0.7,9,-6.021,0.0694,0.00261,1.56e-5,0.153,0.608,116.073,79
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers),pop,0.81,0.793,6,-9.404,0.0403,0.0378,1.82e-6,0.072,0.863,116.049,71
Camila Cabello,Havana (feat. Young Thug),pop,0.765,0.523,2,-4.333,0.03,0.184,3.56e-5,0.132,0.394,104.988,80
Cardi B,I Like It,pop,0.816,0.726,5,-3.998,0.129,0.099,0,0.372,0.65,136.048,80
Maroon 5,Sugar,pop,0.748,0.788,1,-7.055,0.0334,0.0591,0,0.0863,0.884,120.076,79
Rihanna,FourFiveSeconds,pop,0.582,0.272,2,-5.662,0.0501,0.875,0,0.13,0.354,205.846,78
Lady Gaga,Always Remember Us This Way,pop,0.553,0.502,0,-5.972,0.0409,0.299,0,0.764,0.296,129.976,72
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,pop,0.78,0.68,4,-6.081,0.0305,0.141,1.2e-5,0.138,0.594,118.026,63
Carly Rae Jepsen,Call Me Maybe,pop,0.783,0.58,7,-6.548,0.0408,0.0114,2.28e-6,0.108,0.66,120.021,68
Avicii,Wake Me Up,pop,0.532,0.783,2,-5.697,0.0523,0.0038,0.0012,0.161,0.643,124.08,30
The Weeknd,Can't Feel My Face,pop,0.705,0.769,9,-5.526,0.0426,0.112,0,0.105,0.59,107.939,22
Gotye,Somebody That I Used To Know,pop,0.864,0.495,0,-7.036,0.037,0.591,1.33e-4,0.0992,0.72,129.062,75
Portugal. The Man,Feel It Still,pop,0.801,0.795,1,-5.115,0.0504,0.0417,1.13e-4,0.0717,0.754,79.028,77
Maroon 5,Girls Like You (feat. Cardi B),pop,0.851,0.541,0,-6.825,0.0505,0.568,0,0.13,0.448,124.959,66
Sam Smith,Stay With Me,pop,0.56,0.429,0,-6.267,0.0377,0.52,7.06e-5,0.105,0.161,85.036,48
Justin Bieber,Love Yourself,pop,0.609,0.378,4,-9.828,0.438,0.835,0,0.28,0.515,100.418,81
Zedd,The Middle,pop,0.753,0.657,7,-3.061,0.0449,0.171,0,0.112,0.437,107.01,81
Ariana Grande,no tears left to cry,pop,0.699,0.713,9,-5.507,0.0594,0.04,3.11e-6,0.294,0.354,121.993,79
Lana Del Rey,Born To Die,pop,0.313,0.631,4,-6.633,0.0415,0.188,1.93e-4,0.197,0.392,171.759,43
Kendrick Lamar,All The Stars (with SZA),pop,0.698,0.633,8,-4.946,0.0597,0.0605,1.94e-4,0.0926,0.552,96.924,79
Rihanna,Diamonds,pop,0.564,0.71,11,-4.92,0.0461,0.00125,0,0.109,0.393,91.972,74
Drake,"Hold On, We're Going Home",pop,0.777,0.414,6,-7.44,0.0946,0.00421,2.73e-5,0.0724,0.287,100.002,69
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",pop,0.893,0.745,11,-3.105,0.0571,0.0642,0,0.0943,0.872,101.018,73
Childish Gambino,Redbone,pop,0.743,0.347,1,-11.174,0.121,0.167,0.00951,0.103,0.572,160.143,81
Beyoncé,Hold Up,pop,0.524,0.397,0,-11.936,0.405,0.745,0,0.521,0.552,80.744,70
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,pop,0.76,0.479,2,-5.574,0.0466,0.556,0,0.0703,0.913,89.911,83
J Balvin,Mi Gente,pop,0.548,0.704,11,-4.838,0.0777,0.0168,2.25e-5,0.143,0.288,104.666,71
Bruno Mars,Locked out of Heaven,pop,0.726,0.698,5,-4.165,0.0431,0.049,0,0.309,0.867,143.994,81
Justin Timberlake,Mirrors - Radio Edit,pop,0.578,0.6,8,-5.7,0.0455,0.144,0,0.426,0.646,76.999,65
Lady Gaga,Born This Way,pop,0.587,0.828,11,-5.108,0.161,0.00327,0,0.331,0.494,123.907,67
David Guetta,Titanium (feat. Sia),pop,0.604,0.788,0,-3.673,0.103,0.0678,0.153,0.127,0.301,126.06,66
fun.,We Are Young (feat. Janelle Monáe),pop,0.378,0.638,10,-5.576,0.075,0.02,7.66e-5,0.0849,0.735,184.086,75
Halsey,Without Me,pop,0.752,0.488,6,-7.05,0.0705,0.297,9.11e-6,0.0936,0.533,136.041,81
Logic,1-800-273-8255,pop,0.62,0.574,5,-7.788,0.0479,0.569,0,0.19,0.357,100.023,78
Taylor Swift,All Too Well,pop,0.602,0.609,0,-7.803,0.0243,0.0382,2e-4,0.128,0.337,93.06,68
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),pop,0.642,0.772,10,-6.61,0.0848,0.0476,0,0.0646,0.589,153.995,69
Drake,God's Plan,pop,0.754,0.449,7,-9.211,0.109,0.0332,8.29e-5,0.552,0.357,77.169,82
Bruno Mars,That's What I Like,pop,0.853,0.56,1,-4.961,0.0406,0.013,0,0.0944,0.86,134.066,81
The Weeknd,Starboy,pop,0.679,0.587,7,-7.015,0.276,0.141,6.35e-6,0.137,0.486,186.003,84
Kanye West,All Of The Lights,pop,0.531,0.803,1,-3.284,0.0717,0.0796,1.71e-5,0.176,0.221,142.113,74
Calvin Harris,One Kiss (with Dua Lipa),pop,0.791,0.862,9,-3.24,0.11,0.037,2.19e-5,0.0814,0.592,123.994,80
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",pop,0.475,0.606,8,-6.646,0.0346,0.247,0,0.125,0.282,94.994,55
Adele,Hello,pop,0.481,0.451,5,-6.095,0.0347,0.336,0,0.0872,0.289,157.966,47
The Chainsmokers,Closer,pop,0.748,0.524,8,-5.599,0.0338,0.414,0,0.111,0.661,95.01,83
Rihanna,Work,pop,0.725,0.534,11,-6.238,0.0946,0.0752,0,0.0919,0.558,91.974,75
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),pop,0.781,0.526,6,-6.985,0.293,0.0619,0,0.0457,0.662,94.992,58
Meghan Trainor,All About That Bass,pop,0.812,0.869,9,-3.698,0.0503,0.044,4.1e-6,0.118,0.963,134.087,55
Harry Styles,Sign of the Times,pop,0.516,0.595,5,-4.63,0.0313,0.0275,0,0.109,0.222,119.972,81
John Legend,All of Me,pop,0.422,0.264,8,-7.064,0.0322,0.922,0,0.132,0.331,119.93,85
Camila Cabello,Never Be the Same,pop,0.637,0.713,0,-4.333,0.0747,0.181,6.37e-4,0.137,0.243,129.923,71
Beyoncé,Love On Top,pop,0.652,0.748,0,-5.242,0.0887,0.0849,0,0.604,0.652,94.1,45
Lauv,I Like Me Better,pop,0.752,0.505,9,-7.621,0.253,0.535,2.55e-6,0.104,0.419,91.97,82
Pharrell Williams,"Happy - From ""Despicable Me 2""",pop,0.647,0.822,5,-4.662,0.183,0.219,0,0.0908,0.962,160.019,9
Major Lazer,Lean On,pop,0.723,0.809,7,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,71
Katy Perry,Firework,pop,0.638,0.832,8,-5.039,0.049,0.141,0,0.113,0.648,124.071,64
One Direction,What Makes You Beautiful,pop,0.726,0.787,4,-2.494,0.0737,0.009,0,0.0596,0.888,124.99,81
Nicki Minaj,Super Bass,pop,0.72,0.861,11,-4.339,0.209,0.269,5.11e-6,0.601,0.669,126.991,39
Kesha,TiK ToK,pop,0.755,0.837,2,-2.718,0.142,0.0991,0,0.289,0.714,120.028,80
Eminem,Love The Way You Lie,pop,0.749,0.925,10,-5.034,0.227,0.241,0,0.52,0.641,86.989,81
Wiz Khalifa,See You Again (feat. Charlie Puth),pop,0.689,0.481,10,-7.503,0.0815,0.369,1.03e-6,0.0649,0.283,80.025,81
Twenty One Pilots,Stressed Out,pop,0.734,0.637,4,-5.677,0.141,0.0462,2.29e-5,0.0602,0.648,169.977,83
Alessia Cara,Here,pop,0.376,0.821,0,-3.974,0.104,0.0785,0,0.0823,0.331,120.462,40
Julia Michaels,Issues,pop,0.728,0.415,8,-6.852,0.0639,0.401,0,0.0616,0.455,114.145,67
Marshmello,Happier,pop,0.687,0.792,5,-2.749,0.0452,0.191,0,0.167,0.671,100.015,83
Post Malone,I Fall Apart,pop,0.556,0.538,8,-5.408,0.0382,0.0689,0,0.196,0.291,143.95,81
Khalid,Young Dumb & Broke,pop,0.798,0.539,1,-6.351,0.0421,0.199,1.66e-5,0.165,0.394,136.949,7
Miley Cyrus,Wrecking Ball,pop,0.53,0.422,5,-6.262,0.0342,0.407,0,0.107,0.349,119.964,75
OneRepublic,Counting Stars,pop,0.663,0.705,1,-4.972,0.0385,0.0654,0,0.117,0.477,122.014,62
PSY,Gangnam Style (강남스타일),pop,0.727,0.937,11,-2.871,0.286,0.00417,0,0.091,0.749,132.067,71
Panic! At The Disco,High Hopes,pop,0.579,0.904,5,-2.729,0.0618,0.193,0,0.064,0.681,82.014,82
Enrique Iglesias,Bailando - English Version,pop,0.719,0.844,7,-3.529,0.103,0.0793,0,0.0551,0.941,90.951,51
Imagine Dragons,Radioactive,pop,0.448,0.784,9,-3.686,0.0627,0.106,1.08e-4,0.668,0.236,136.245,71
Kygo,It Ain’t Me (with Selena Gomez),pop,0.64,0.533,0,-6.596,0.0706,0.119,0,0.0864,0.515,99.968,64
CeeLo Green,Forget You,pop,0.696,0.875,0,-3.682,0.0649,0.134,0,0.159,0.772,127.39,62
Summer Walker,Girls Need Love (with Drake) - Remix,rnb,0.656,0.432,6,-9.481,0.217,0.443,0,0.132,0.0897,97.022,0
Pink Sweat$,Honesty,rnb,0.616,0.204,6,-11.421,0.0331,0.919,0,0.106,0.419,79.826,0
H.E.R.,Could've Been (feat. Bryson Tiller),rnb,0.45,0.352,1,-11.733,0.267,0.649,3.8e-6,0.249,0.408,102.679,72
DJ Khaled,Just Us (feat. SZA),rnb,0.639,0.859,9,-2.758,0.147,0.135,0,0.129,0.566,93.132,64
Blue Ivy,BROWN SKIN GIRL,rnb,0.603,0.602,6,-7.083,0.23,0.049,0,0.279,0.595,119.703,66
Lucky Daye,Roll Some Mo,rnb,0.389,0.507,11,-9.026,0.0621,0.259,0.0441,0.142,0.364,74.718,60
Ari Lennox,Shea Butter Baby (with J. Cole),rnb,0.709,0.49,4,-7.457,0.0757,0.11,0.00345,0.12,0.0397,155.069,66
Daniel Caesar,LOVE AGAIN,rnb,0.553,0.441,5,-6.411,0.0918,0.41,2.57e-6,0.107,0.525,76.988,63
Tory Lanez,Jerry Sprunger (with T-Pain),rnb,0.694,0.744,0,-5.334,0.297,0.144,0,0.0905,0.425,99.941,0
Jorja Smith,Be Honest (feat. Burna Boy),rnb,0.757,0.737,4,-6.728,0.114,0.311,0,0.113,0.635,98.057,71
The Weeknd,Heartless,rnb,0.531,0.75,10,-5.831,0.111,0.00632,7.6e-5,0.117,0.198,169.954,7
Rotimi,Love Riddim,rnb,0.781,0.633,4,-5.616,0.0351,0.311,7.27e-6,0.0964,0.795,107.074,48
SiR,Hair Down (feat. Kendrick Lamar),rnb,0.793,0.489,8,-10.984,0.284,0.25,1.01e-4,0.432,0.47,120.097,67
Raphael Saadiq,Something Keeps Calling (feat. Rob Bacon),rnb,0.614,0.657,7,-7.081,0.0361,0.238,1.85e-5,0.452,0.561,79.978,40
Teyana Taylor,How You Want It?,rnb,0.492,0.698,5,-2.801,0.184,0.292,0,0.0989,0.749,94.59,57
Summer Walker,Come Thru (with Usher),rnb,0.679,0.728,5,-3.092,0.154,0.159,0,0.107,0.46,152.001,72
Ncredible Gang,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)",rnb,0.801,0.501,0,-6.364,0.269,0.188,0,0.0211,0.902,140.077,52
Jacquees,You,rnb,0.735,0.453,8,-8.264,0.0602,0.413,0,0.104,0.335,115.002,68
Ella Mai,Shot Clock,rnb,0.512,0.512,4,-6.008,0.285,0.654,0,0.148,0.434,95.11,65
Kiana Ledé,EX - Remix,rnb,0.775,0.537,0,-6.978,0.141,0.326,0,0.0792,0.403,73.484,55
Dreamville,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),rnb,0.664,0.61,7,-6.432,0.339,0.145,0,0.097,0.472,76.024,61
Bryson Tiller,Blame,rnb,0.73,0.38,11,-8.558,0.0988,0.0319,4.93e-5,0.12,0.323,114.973,65
Ty Dolla $ign,Purple Emoji (feat. J. Cole),rnb,0.707,0.543,8,-4.61,0.279,0.151,0,0.384,0.824,144.18,63
Chris Brown,Heat (feat. Gunna),rnb,0.619,0.613,0,-5.83,0.0796,0.0614,0,0.117,0.483,82.419,67
Arin Ray,Change (with Kehlani),rnb,0.712,0.473,6,-4.413,0.0693,0.057,0,0.182,0.327,86.965,0
Majid Jordan,Caught Up (feat. Khalid),rnb,0.678,0.438,9,-8.847,0.0577,0.29,0,0.0838,0.501,81.498,64
Snoh Aalegra,I Want You Around,rnb,0.705,0.433,4,-9.706,0.204,0.388,0.134,0.0841,0.602,168.006,68
Tank,I Don't Think You're Ready,rnb,0.782,0.491,2,-5.554,0.26,0.641,0.00743,0.241,0.664,135.961,48
